,Ligand Name,Energy,LogP,MolWt,Complexity,Center of mass
469,output413_ligand174_2023-11-21-14:35,-8.172,2.6221000000000005,369.24499836,1.3316015919689816,[34.4537888  46.17102887 28.39067566]
470,output417_ligand420_2023-11-21-14:35,-8.168,-5.2013999999999845,894.4460446400003,1.2071590425151568,[30.36439923 28.82491981 44.83707421]
471,output12_ligand832_2023-11-21-14:35,-8.167,1.6453999999999989,305.246712612,1.3962870795938875,[41.70113229 27.27528392 45.48990778]
472,output52_ligand452_2023-11-21-14:35,-8.166,0.0,0.0,0.0,"[0, 0, 0]"
473,output413_ligand274_2023-11-21-14:35,-8.166,1.219799999999999,411.30970679199993,1.5823598549995082,[32.85213354 45.70149187 27.73196559]
474,output26_ligand73_2023-11-21-14:35,-8.166,0.0,0.0,0.0,"[0, 0, 0]"
475,output26_ligand287_2023-11-21-14:35,-8.165,0.5003000000000015,312.243773148,1.3443656277483917,[30.7709249  30.27129218 31.74610143]
476,output52_ligand951_2023-11-21-14:35,-8.162,3.3713000000000024,276.256549024,1.6374408832168612,[25.78380957 43.08796621 31.05575359]
477,output12_ligand305_2023-11-21-14:35,-8.16,-0.8444999999999951,437.300204728,1.1061361935067802,[44.92016569 28.07611812 44.92552843]
478,output413_ligand127_2023-11-21-14:35,-8.159,0.0,0.0,0.0,"[0, 0, 0]"
479,output413_ligand111_2023-11-21-14:35,-8.156,0.3769000000000009,414.266462076,1.145154803319112,[26.85726304 43.97816726 28.73926711]
480,output44_ligand893_2023-11-21-14:35,-8.154,5.053800000000005,358.265399456,1.3922033912421536,[34.49374735 44.05252383 27.4625301 ]
481,output52_ligand373_2023-11-21-14:35,-8.152,1.8651999999999993,307.214743788,1.5683164694279434,[26.52558994 44.71832002 32.23092324]
482,output417_ligand163_2023-11-21-14:35,-8.152,0.869499999999999,371.258420168,1.4448226204981793,[36.09843104 33.59728858 28.36555002]
483,output44_ligand450_2023-11-21-14:35,-8.151,5.056100000000003,516.305550016,1.3437723430363777,[34.89288814 46.23099235 27.72034711]
484,output52_ligand355_2023-11-21-14:35,-8.15,1.7477,320.207548144,1.8055260162805549,[26.95625578 44.62600738 32.12534706]
485,output52_ligand407_2023-11-21-14:35,-8.148,0.3904000000000046,471.358468552,1.2224930553109046,[32.82039583 47.4880482  30.95070111]
486,output52_ligand384_2023-11-21-14:35,-8.148,2.0073,346.19262843999996,1.5242165123313056,[26.40871771 43.98410957 32.33478706]
487,output44_ligand701_2023-11-21-14:35,-8.147,3.9969000000000032,306.255880328,1.6638743491673023,[30.32499775 44.64034862 29.27090169]
488,output44_ligand314_2023-11-21-14:35,-8.147,1.275500000000001,340.283826392,1.47270959759332,[33.26088177 43.90458766 28.09089386]
489,output413_ligand450_2023-11-21-14:35,-8.147,5.056100000000003,516.305550016,1.3437723430363777,[36.92496756 47.30878318 26.29008853]
490,output44_ligand282_2023-11-21-14:35,-8.147,3.3331000000000017,452.3083103800899,1.1452534534335295,[30.60526679 46.69260276 30.85370312]
491,output52_ligand420_2023-11-21-14:35,-8.146,-5.2013999999999845,894.4460446400003,1.2071590425151568,[31.84935978 48.30287557 30.13983319]
492,output52_ligand16_2023-11-21-14:35,-8.146,0.9379000000000006,339.25219191599996,1.4921136471515002,[26.43538995 43.95769818 31.95002656]
493,output52_ligand217_2023-11-21-14:35,-8.144,1.0990000000000038,591.435969924,1.1522649016693522,[25.93075746 45.23773587 31.13044044]
494,output44_ligand762_2023-11-21-14:35,-8.144,1.3328000000000002,336.288911772,1.232024997401402,[34.02145027 44.29459943 27.84351218]
495,output52_ligand987_2023-11-21-14:35,-8.143,2.2812,284.198759376,1.7012751594925162,[26.58738009 43.22468482 31.83401758]
