,Ligand Name,Energy,LogP,MolWt,Complexity,Center of mass
2022,output44_ligand360_2023-11-22-15:52,-6.97655201,0.5629,271.14747539609,1.3250141439042697,[38.45751575 45.99682998 27.07798272]
2023,output44_ligand136_2023-11-22-15:52,-6.97540808,-0.33500000000000063,369.127979584,1.8639765106132424,[37.75045643 46.66182143 28.05247133]
2024,output417_ligand504_2023-11-22-15:52,-6.97466087,0.0,0.0,0.0,"[0, 0, 0]"
2025,output12_ligand331_2023-11-22-15:52,-6.97434378,0.594600000000002,341.27907536,1.276128427410934,[35.08767568 45.81806451 27.4168877 ]
2026,output52_ligand98_2023-11-22-15:52,-6.97308779,2.1341000000000037,450.40461022000005,1.5712293854731954,[31.00502333 46.22801002 27.88751555]
2027,output417_ligand151_2023-11-22-15:52,-6.97234821,2.8801000000000005,280.251463644,1.5257037774040336,[29.39323538 46.40928123 31.27676512]
2028,output52_ligand442_2023-11-22-15:52,-6.97226477,-0.35690000000000005,438.1858288079999,1.394045647865603,[29.15581691 46.46159971 32.44249675]
2029,output413_ligand316_2023-11-22-15:52,-6.9720521,1.1505000000000012,301.230016992,1.7603689643069458,[33.83119638 44.71277679 28.88311737]
2030,output44_ligand691_2023-11-22-15:52,-6.97184277,1.6232999999999995,333.21155022799996,1.8075041219892123,[32.59372757 45.89295016 29.2741597 ]
2031,output44_ligand677_2023-11-22-15:52,-6.97183132,1.7131999999999996,366.15346605999997,1.5677469912101647,[34.12583484 46.08301802 29.8694949 ]
2032,output26_ligand734_2023-11-22-15:52,-6.97146368,4.6825000000000045,321.22794924,1.8221990469885323,[31.47768237 44.29063555 29.8826745 ]
2033,output413_ligand556_2023-11-22-15:52,-6.97097349,1.9662999999999997,254.23581358,1.708650669852812,[32.40867877 43.50602021 28.16952868]
2034,output26_ligand590_2023-11-22-15:52,-6.97091913,1.5119999999999996,268.215078136,1.6717385206168025,[31.96487183 45.69748945 28.55040923]
2035,output413_ligand437_2023-11-22-15:52,-6.97055864,-1.255399999999997,332.18821175600004,1.554708448740685,[34.67840988 45.777241   28.97245954]
2036,output413_ligand99_2023-11-22-15:52,-6.96972609,0.0,0.0,0.0,"[0, 0, 0]"
2037,output413_ligand785_2023-11-22-15:52,-6.96887589,1.109,305.246712612,1.4409490663345408,[29.90961612 44.93337261 30.70804581]
2038,output26_ligand800_2023-11-22-15:52,-6.96849871,6.39550000000001,460.3916455239999,1.5516214886615702,[30.31933863 45.6930975  28.48546635]
